Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Marcelo Mello,marcellomelojr,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Fernandinho Beatbox,bbxfernandinho,São Paulo,0,17,17,0,0,16086,52,0,16086,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Fabi Claudino,fabiclaudino,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Bibi Tatto,bibitatto,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
André Martinelli,andremartinelli,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Pele Milflows,pele.milflows,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Kauana Hofema,kauhofem,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Cris Amaral,crisamaral_,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Duda Kropf,dudakropf,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Bruno Magri,brunomagri,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gabrielle Stacenco,gabistacenco,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gustavo Paz,guupaz,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Vanessa Lopez,vanessalopesr_,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Camila Loures,camilaloures,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Caio Castro,caiocastro,São Paulo,36000,2,2,0,0,108612,17,0,108612,R$0.33,0.00%,R$0.00,R$0.33,0.02%,0.00%,0,0,
João Guilherme,joaoguilherme,São Paulo,55000,4,4,0,0,702956,538,0,702956,R$0.08,0.00%,R$0.00,R$0.00,0.08%,0.00%,0,0,
