Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Gabi Verde Limão,gabiverdelimao,São Paulo,3000,9,9,0,0,23419,222,193,23419,R$0.13,0.82%,R$15.54,R$0.13,0.95%,0.00%,0,0,
Paola Santerini,paolasanterini,São Paulo,3000,15,15,0,0,147348,244,220,147030,R$0.02,0.15%,R$13.64,R$0.02,0.17%,0.00%,0,0,
Apezinho 109,apezinho109,Nova Iguaçu,2500,10,7,0,0,41011,838,298,41011,R$0.06,0.73%,R$8.39,R$0.06,2.04%,0.00%,0,0,
Gabriel Jacome,ga.jacome,São Paulo,2000,7,7,0,0,12080,138,62,12080,R$0.16,0.51%,R$32.26,R$0.17,1.14%,0.00%,0,0,
Rafa Baricala,rafabaricala,São Paulo,11500,7,6,0,1,223182,3120,326,224706,R$0.05,0.15%,R$35.28,R$0.05,1.40%,15.80%,112,18247,
Alexia Brito,botaa_po,São Paulo,73500,30,18,6,6,1560089,70522,6167,1560089,R$0.05,0.40%,R$11.92,R$0.05,4.52%,6.32%,806,216147,
Gui Taschetti,guitaschetti,São Paulo,2000,6,6,0,0,7288,105,77,7288,R$0.27,1.06%,R$25.97,R$0.27,1.44%,0.86%,61,11894,
Lica Lopes,licalopes10,São Paulo,11500,12,11,0,1,224648,364,294,226776,R$0.05,0.13%,R$39.12,R$0.05,0.16%,0.00%,0,0,
Marcos Santana,marcostre._,Rio de Janeiro,1000,3,3,0,0,11108,50,27,11108,R$0.09,0.24%,R$37.04,R$0.09,0.45%,0.00%,0,0,
Miguel Martinez,migueelmartinezzz,Rio de Janeiro,1000,8,6,1,1,7810,396,112,7953,R$0.12,1.43%,R$8.93,R$0.13,5.07%,14.86%,11,848,
Duda Guimaraes,byduda.g,Maceió,1000,8,6,1,1,15708,463,462,19183,R$0.06,2.94%,R$2.16,R$0.06,2.95%,17.02%,56,329,
Vinicius Rodrigues,,São Paulo,1000,2,1,1,0,4531,274,274,4752,R$0.21,6.05%,R$3.65,R$0.22,6.05%,0.00%,0,0,
Rodrigo Espir,rodrigo_spir,São Paulo,1000,4,3,1,0,12328,227,221,11991,R$0.08,1.79%,R$4.52,R$0.08,1.84%,0.00%,0,0,
Bia França,biaz.f,Rio de Janeiro,1000,8,6,1,1,130906,10367,10338,139242,R$0.01,7.90%,R$0.10,R$0.01,7.92%,19.31%,7376,38190,
Patricia Ribeiro,pattyribeiro,São Paulo,0,4,3,1,0,6564,233,2,955,R$0.00,0.03%,R$0.00,R$0.00,3.55%,0.00%,0,0,
